Chassis Serial No.,SSD Serial No.,Power-On Hours,Valid Blocks,Life Percentage,CRC,Total LBA Written
E19B6K5601370219,F513900158,5074.0,110.0,84.0,2.0,550559.0
E2196K5601370131,G615120737,157.0,112.0,100.0,0.0,14141.0
E2216K5601370748,HO46170731,2885.0,81.0,63.0,0.0,666121.0
E2196K5601370960,G600100063,3399.0,100.0,67.0,4.0,619884.0
E2196K5601370551,G671520821,4391.0,111.0,48.0,0.0,862855.0
E2136K5601371206,G615121120,5754.0,99.0,75.0,0.0,784805.0
E2196K5601370150,H378940318,2279.0,85.0,68.0,0.0,538658.0
E21C6K5601370356,G671521090,5406.0,97.0,79.0,0.0,678983.0
E2286K5601370630,H378931030,4270.0,101.0,63.0,0.0,755651.0
E2076K5601370186,F939850567,4444.0,89.0,75.0,10.0,713255.0
E2216K5601370007,G651840742,2270.0,105.0,86.0,0.0,489362.0
E2266K5601370304,H332000403,1601.0,107.0,92.0,1.0,348890.0
E2136K5601370952,G559380155,4880.0,97.0,44.0,0.0,910563.0
E2256K5601370596,G615120177,3838.0,106.0,50.0,0.0,804702.0
E2116K5601370190,G223570308,5422.0,93.0,81.0,0.0,653511.0
